dataset_slug,genotype_base_codes,genotype_allele_codes,treatment_rna_base_codes,treatment_plasmid_base_codes
20251028_mem-peroxi,pDQM136,325,MGCO-49,
20251028_mem-peroxi2,pDQM136,325,MGCO-52,
20250521_skittles_no-membrane,pDQM034,309,,
20250602_mem,,,MGCO-39,
20250624_skittlez_Chris_x_Liam,pDQM034,309,,
20250721_72hpf_mrna_mSG_organelle_LLS-SIM,,,MGCO-04|MGCO-01,
20250805_lifeact_mem-halo,,,MGCO-24|MGCO-39,
20250624_skittlez_Issac_x_Ken,pDQM034,309,,
20251016_mem-mito_v2,pDQM082,315,MGCO-01,
20251017_nuclear_envelope,,,MGCO-54,
20251107_mem-kinectocore,pDQM082,315,MGCO-57,
20250602_mem,pDQM082,315,MGCO-39,
20251017_microtubules,,,MGCO-50,
